SENTENCE;LAW
"Ceza Kanununun amacı ; kişi hak ve özgürlüklerini , kamu düzen ve güvenliğini , hukuk devletini , kamu sağlığını ve çevreyi , toplum barışını korumak , suç işlenmesini önlemektir .";TÜRK CEZA KANUNU
bu amacın gerçekleştirilmesi için ceza sorumluluğunun temel esasları ile suçlar , ceza ve güvenlik tedbirlerinin türleri düzenlenmiştir .;TÜRK CEZA KANUNU
açıkça suç saymadığı bir fiil için kimseye ceza verilemez ve güvenlik tedbiri uygulanamaz .;TÜRK CEZA KANUNU
yazılı cezalardan ve güvenlik tedbirlerinden başka bir ceza ve güvenlik tedbirine hükmolunamaz .;TÜRK CEZA KANUNU
düzenleyici işlemleriyle suç ve ceza konulamaz .;TÜRK CEZA KANUNU
suç ve ceza içeren hükümlerinin uygulanmasında kıyas yapılamaz .;TÜRK CEZA KANUNU
ve ceza içeren hükümler , kıyasa yol açacak biçimde geniş yorumlanamaz .;TÜRK CEZA KANUNU
işleyen kişi hakkında işlenen fiilin ağırlığıyla orantılı ceza ve güvenlik tedbirine hükmolunur .;TÜRK CEZA KANUNU
Kanununun uygulamasında kişiler arasında ırk , dil , din , mezhep , milliyet , renk , cinsiyet , siyasal veya diğer fikir yahut düşünceleri , felsefi inanç , milli veya sosyal köken , doğum , ekonomik ve diğer toplumsal konumları yönünden ayrım yapılamaz ve hiçbir kimseye ayrıcalık tanınamaz .;TÜRK CEZA KANUNU
kanunlarını bilmemek mazeret sayılmaz .;TÜRK CEZA KANUNU
Kanunun genel hükümleri , özel ceza kanunları ve ceza içeren kanunlardaki suçlar hakkında da uygulanır .;TÜRK CEZA KANUNU
"Ceza kanunlarının uygulanmasında ; Vatandaş deyiminden ; fiili işlediği sırada Türk vatandaşı olan kişi , çocuk deyiminden ; henüz onsekiz yaşını doldurmamış kişi , Kamu görevlisi deyiminden ; kamusal faaliyetin yürütülmesine atama veya seçilme yoluyla ya da herhangi bir surette sürekli , süreli veya geçici olarak katılan kişi , Yargı görevi yapan deyiminden ; yüksek mahkemeler , adli ve idari mahkemeler üye ve hakimleri ile Cumhuriyet savcısı ve avukatlar , Gece vakti deyiminden ; güneşin batmasından bir saat sonra başlayan ve doğmasından bir saat evvele kadar devam eden zaman süresi , Silah deyiminden ; Ateşli silahlar , Patlayıcı maddeler , Saldırı ve savunmada kullanılmak üzere yapılmış her türlü kesici , delici veya bereleyici alet , Saldırı ve savunma amacıyla yapılmış olmasa bile fiilen saldırı ve savunmada kullanılmaya elverişli diğer şeyler , Yakıcı , aşındırıcı , yaralayıcı , boğucu , zehirleyici , sürekli hastalığa yol açıcı nükleer , radyoaktif , kimyasal , biyolojik maddeler , Basın ve yayın yolu ile deyiminden ; her türlü yazılı , görsel , işitsel ve elektronik kitle iletişim aracıyla yapılan yayınlar , İtiyadi suçlu deyiminden ; kasıtlı bir suçun temel şeklini ya da daha ağır veya daha az cezayı gerektiren nitelikli şekillerini bir yıl içinde ve farklı zamanlarda ikiden fazla işleyen kişi , Suçu meslek edinen kişi deyiminden ; kısmen de olsa geçimini suçtan elde ettiği kazançla sağlamaya alışmış kişi , örgüt mensubu suçlu deyiminden ; bir suç örgütünü kuran , yöneten , örgüte katılan veya örgüt adına diğerleriyle birlikte veya tek başına suç işleyen kişi , Anlaşılır .";TÜRK CEZA KANUNU
zaman yürürlükte bulunan kanuna göre suç sayılmayan bir fiilden dolayı kimseye ceza verilemez ve güvenlik tedbiri uygulanamaz .;TÜRK CEZA KANUNU
sonra yürürlüğe giren kanuna göre suç sayılmayan bir fiilden dolayı da kimse cezalandırılamaz ve hakkında güvenlik tedbiri uygulanamaz .;TÜRK CEZA KANUNU
bir ceza veya güvenlik tedbiri hükmolunmuşsa infazı ve kanuni neticeleri kendiliğinden kalkar .;TÜRK CEZA KANUNU
işlendiği zaman yürürlükte bulunan kanun ile sonradan yürürlüğe giren kanunların hükümleri farklı ise , failin lehine olan kanun uygulanır ve infaz olunur .;TÜRK CEZA KANUNU
"cezasının ertelenmesi , koşullu salıverilme ve tekerrürle ilgili olanlar hariç ; infaz rejimine ilişkin hükümler , derhal uygulanır .";TÜRK CEZA KANUNU
veya süreli kanunların , yürürlükte bulundukları süre içinde işlenmiş olan suçlar hakkında uygulanmasına devam edilir .;TÜRK CEZA KANUNU
işlenen suçlar hakkında Türk kanunları uygulanır .;TÜRK CEZA KANUNU
kısmen veya tamamen Türkiye'de işlenmesi veya neticenin Türkiye'de gerçekleşmesi halinde suç , Türkiye'de işlenmiş sayılır .;TÜRK CEZA KANUNU
Türk kara ve hava sahaları ile Türk karasularında , Açık denizde ve bunun üzerindeki hava sahasında , Türk deniz ve hava araçlarında veya bu araçlarla , Türk deniz ve hava savaş araçlarında veya bu araçlarla , Türkiye'nin kıt'a sahanlığında veya münhasır ekonomik bölgesinde tesis edilmiş sabit platformlarda veya bunlara karşı , İşlendiğinde Türkiye'de işlenmiş sayılır .;TÜRK CEZA KANUNU
işlediği suçtan dolayı yabancı ülkede hakkında hüküm verilmiş olan kimse , Türkiye'de yeniden yargılanır .;TÜRK CEZA KANUNU
ülkede Türkiye namına memuriyet veya görev üstlenmiş olup da bundan dolayı bir suç işleyen kimse , bu fiile ilişkin olarak yabancı ülkede hakkında mahkûmiyet hükmü verilmiş bulunsa bile , Türkiye'de yeniden yargılanır .;TÜRK CEZA KANUNU
Türk vatandaşı , 13 üncü maddede yazılı suçlar dışında , Türk kanunlarına göre aşağı sınırı bir yıldan az olmayan hapis cezasını gerektiren bir suçu yabancı ülkede işlediği ve kendisi Türkiye'de bulunduğu takdirde , bu suçtan dolayı yabancı ülkede hüküm verilmemiş olması ve Türkiye'de kovuşturulabilirliğin bulunması koşulu ile Türk kanunlarına göre cezalandırılır .;TÜRK CEZA KANUNU
aşağı sınırı bir yıldan az hapis cezasını gerektirdiğinde yargılama yapılması zarar görenin veya yabancı hükûmetin şikayetine bağlıdır .;TÜRK CEZA KANUNU
durumda şikayet , vatandaşın Türkiye'ye girdiği tarihten itibaren altı ay içinde yapılmalıdır .;TÜRK CEZA KANUNU
yabancı , 13 üncü maddede yazılı suçlar dışında , Türk kanunlarına göre aşağı sınırı en az bir yıl hapis cezasını gerektiren bir suçu yabancı ülkede Türkiye'nin zararına işlediği ve kendisi Türkiye'de bulunduğu takdirde , Türk kanunlarına göre cezalandırılır .;TÜRK CEZA KANUNU
yapılması Adalet Bakanının istemine bağlıdır .;TÜRK CEZA KANUNU
fıkrada belirtilen suçun bir Türk vatandaşının veya Türk kanunlarına göre kurulmuş özel hukuk tüzel kişisinin zararına işlenmesi ve failin Türkiye'de bulunması halinde , bu suçtan dolayı yabancı ülkede hüküm verilmemiş olması koşulu ile suçtan zarar görenin şikayeti üzerine fail , Türk kanunlarına göre cezalandırılır .;TÜRK CEZA KANUNU
yabancı ise , aşağıdaki koşulların varlığı halinde fail , Adalet Bakanının istemi ile yargılanır : Suçun , Türk kanunlarına göre aşağı sınırı üç yıldan az olmayan hapis cezasını gerektirmesi .;TÜRK CEZA KANUNU
geri verilmesi anlaşmasının bulunmaması veya geri verilme isteminin suçun işlendiği ülkenin veya failin uyruğunda bulunduğu devletin hükûmeti tarafından kabul edilmemiş olması .;TÜRK CEZA KANUNU
fıkra kapsamına giren suçtan dolayı yabancı mahkemece mahkûm edilen veya herhangi bir nedenle davası veya cezası düşen veya beraat eden yahut suçu kovuşturulabilir olmaktan çıkan yabancı hakkında Adalet Bakanının istemi üzerine Türkiye'de yeniden yargılama yapılır .;TÜRK CEZA KANUNU
fıkra kapsamına giren hallerde rüşvet ve nüfuz ticareti suçlarından dolayı yargılama yapılması Adalet Bakanının istemine bağlı değildir .;TÜRK CEZA KANUNU
suçların , vatandaş veya yabancı tarafından , yabancı ülkede işlenmesi halinde , Türk kanunları uygulanır : İkinci Kitap , Birinci Kısım altında yer alan suçlar .;TÜRK CEZA KANUNU
Kitap , Dördüncü Kısım altındaki Üçüncü , Dördüncü , Beşinci , Altıncı , Yedinci ve Sekizinci Bölümlerde yer alan suçlar .;TÜRK CEZA KANUNU
madde 94 , çevrenin kasten kirletilmesi madde 1 Uyuşturucu veya uyarıcı madde imal ve ticareti madde 18 , uyuşturucu veya uyarıcı madde kullanılmasını kolaylaştırma madde 1 .;TÜRK CEZA KANUNU
sahtecilik madde 19 , para ve kıymetli damgaları imale yarayan araçların üretimi ve ticareti madde , mühürde sahtecilik madde Fuhuş madde Deniz , demiryolu veya havayolu ulaşım araçlarının kaçırılması veya alıkonulması madde 223 , fıkra 2 , ya da bu araçlara karşı işlenen zarar verme madde 15 suçları .;TÜRK CEZA KANUNU
"Kitap , Dördüncü Kısım altındaki Üçüncü , Dördüncü , Beşinci , Altıncı ve Yedinci Bölümlerde yer alanlar hariç ; birinci fıkra kapsamına giren suçlardan dolayı Türkiye'de yargılama yapılması , Adalet Bakanının talebine bağlıdır Birinci fıkranın ve bentlerinde yazılı suçlar dolayısıyla yabancı bir ülkede mahkûmiyet veya beraat kararı verilmiş olsa bile , Adalet Bakanının talebi üzerine Türkiye'de yargılama yapılır .";TÜRK CEZA KANUNU
ve 12 nci maddelerde belirtilen hallerde , soruşturma konusu suçun yer aldığı kanun maddesinde hapis cezası ile adli para cezasından birinin uygulanması seçimlik sayılmış ise soruşturma veya kovuşturma açılmaz .;TÜRK CEZA KANUNU
soruşturma koşulu oluşturduğu hallerde ceza , soruşturma evresinde ileri sürülen kanuni ağırlaştırıcı nedenlerin aşağı sınırı ve kanuni hafifletici nedenlerin yukarı sınırı göz önünde bulundurularak hesaplanır .;TÜRK CEZA KANUNU
işlenmiş olursa olsun bir suçtan dolayı , yabancı ülkede gözaltında , gözlem altında , tutuklulukta veya hükümlülükte geçen süre , aynı suçtan dolayı Türkiye'de verilecek cezadan mahsup edilir .;TÜRK CEZA KANUNU
maddelerde açıklanan hallerde mahkeme , yabancı mahkemelerden verilen ve Türk hukuk düzenine aykırı düşmeyen hükmün , Türk kanunlarına göre bir haktan yoksunluğu gerektirmesi halinde , Cumhuriyet savcısının istemi üzerine Türk kanunlarındaki sonuçlarının geçerli olmasına karar verir .;TÜRK CEZA KANUNU
egemenlik alanı dışında işlenen suçlar dolayısıyla Türkiye'de yargılama yapılırken , Türk kanununa göre verilecek olan ceza , suçun işlendiği ülke kanununda öngörülen cezanın üst sınırından fazla olamaz .;TÜRK CEZA KANUNU
"suçun ; Türkiye'nin güvenliğine karşı veya zararına olarak , Türk vatandaşına karşı ya da Türk kanunlarına göre kurulmuş özel hukuk tüzel kişisi zararına olarak , İşlenmesi durumunda , yukarıdaki fıkra hükmü uygulanmaz .";TÜRK CEZA KANUNU
sorumluluğu şahsidir .;TÜRK CEZA KANUNU
başkasının fiilinden dolayı sorumlu tutulamaz .;TÜRK CEZA KANUNU
kişiler hakkında ceza yaptırımı uygulanamaz .;TÜRK CEZA KANUNU
suç dolayısıyla kanunda öngörülen güvenlik tedbiri niteliğindeki yaptırımlar saklıdır .;TÜRK CEZA KANUNU
oluşması kastın varlığına bağlıdır .;TÜRK CEZA KANUNU
suçun kanuni tanımındaki unsurların bilerek ve istenerek gerçekleştirilmesidir .;TÜRK CEZA KANUNU
suçun kanuni tanımındaki unsurların gerçekleşebileceğini öngörmesine rağmen , fiili işlemesi halinde olası kast vardır .;TÜRK CEZA KANUNU
"halde , ağırlaştırılmış müebbet hapis cezasını gerektiren suçlarda müebbet hapis cezasına , müebbet hapis cezasını gerektiren suçlarda yirmi yıldan yirmibeş yıla kadar hapis cezasına hükmolunur ; diğer suçlarda ise temel ceza üçte birden yarısına kadar indirilir .";TÜRK CEZA KANUNU
işlenen fiiller , kanunun açıkça belirttiği hallerde cezalandırılır .;TÜRK CEZA KANUNU
dikkat ve özen yükümlülüğüne aykırılık dolayısıyla , bir davranışın suçun kanuni tanımında belirtilen neticesi öngörülmeyerek gerçekleştirilmesidir .;TÜRK CEZA KANUNU
"öngördüğü neticeyi istememesine karşın , neticenin meydana gelmesi halinde bilinçli taksir vardır ; bu halde taksirli suça ilişkin ceza üçte birden yarısına kadar artırılır .";TÜRK CEZA KANUNU
işlenen suçtan dolayı verilecek olan ceza failin kusuruna göre belirlenir .;TÜRK CEZA KANUNU
fazla kişinin taksirle işlediği suçlarda , herkes kendi kusurundan dolayı sorumlu olur .;TÜRK CEZA KANUNU
failin cezası kusuruna göre ayrı ayrı belirlenir .;TÜRK CEZA KANUNU
"hareket sonucu neden olunan netice , münhasıran failin kişisel ve ailevi durumu bakımından , artık bir cezanın hükmedilmesini gereksiz kılacak derecede mağdur olmasına yol açmışsa ceza verilmez ; bilinçli taksir halinde verilecek ceza yarıdan altıda bire kadar indirilebilir .";TÜRK CEZA KANUNU
fiilin , kastedilenden daha ağır veya başka bir neticenin oluşumuna sebebiyet vermesi halinde , kişinin bundan dolayı sorumlu tutulabilmesi için bu netice bakımından en azından taksirle hareket etmesi gerekir .;TÜRK CEZA KANUNU
hükmünü yerine getiren kimseye ceza verilmez .;TÜRK CEZA KANUNU
bir merciden verilip , yerine getirilmesi görev gereği zorunlu olan bir emri uygulayan sorumlu olmaz .;TÜRK CEZA KANUNU
suç teşkil eden emir hiçbir surette yerine getirilemez .;TÜRK CEZA KANUNU
takdirde yerine getiren ile emri veren sorumlu olur .;TÜRK CEZA KANUNU
hukuka uygunluğunun denetlenmesinin kanun tarafından engellendiği hallerde , yerine getirilmesinden emri veren sorumlu olur .;TÜRK CEZA KANUNU
kendisine ve gerek başkasına ait bir hakka yönelmiş , gerçekleşen , gerçekleşmesi veya tekrarı muhakkak olan haksız bir saldırıyı o anda hal ve koşullara göre saldırı ile orantılı biçimde defetmek zorunluluğu ile işlenen fiillerden dolayı faile ceza verilmez .;TÜRK CEZA KANUNU
kendisine gerek başkasına ait bir hakka yönelik olup , bilerek neden olmadığı ve başka suretle korunmak olanağı bulunmayan ağır ve muhakkak bir tehlikeden kurtulmak veya başkasını kurtarmak zorunluluğu ile ve tehlikenin ağırlığı ile konu ve kullanılan vasıta arasında orantı bulunmak koşulu ile işlenen fiillerden dolayı faile ceza verilmez .;TÜRK CEZA KANUNU
kullanan kimseye ceza verilmez .;TÜRK CEZA KANUNU
üzerinde mutlak surette tasarruf edebileceği bir hakkına ilişkin olmak üzere , açıkladığı rızası çerçevesinde işlenen fiilden dolayı kimseye ceza verilmez .;TÜRK CEZA KANUNU
sorumluluğunu kaldıran nedenlerde sınırın kast olmaksızın aşılması halinde , fiil taksirle işlendiğinde de cezalandırılıyorsa , taksirli suç için kanunda yazılı cezanın altıda birinden üçte birine kadarı indirilerek hükmolunur .;TÜRK CEZA KANUNU
savunmada sınırın aşılması mazur görülebilecek bir heyecan , korku veya telaştan ileri gelmiş ise faile ceza verilmez .;TÜRK CEZA KANUNU
koyamayacağı veya kurtulamayacağı cebir ve şiddet veya muhakkak ve ağır bir korkutma veya tehdit sonucu suç işleyen kimseye ceza verilmez .;TÜRK CEZA KANUNU
gibi hallerde cebir ve şiddet , korkutma ve tehdidi kullanan kişi suçun faili sayılır .;TÜRK CEZA KANUNU
bir fiilin meydana getirdiği hiddet veya şiddetli elemin etkisi altında suç işleyen kimseye , ağırlaştırılmış müebbet hapis cezası yerine onsekiz yıldan yirmidört yıla ve müebbet hapis cezası yerine oniki yıldan onsekiz yıla kadar hapis cezası verilir .;TÜRK CEZA KANUNU
icrası sırasında suçun kanuni tanımındaki maddi unsurları bilmeyen bir kimse , kasten hareket etmiş olmaz .;TÜRK CEZA KANUNU
hata dolayısıyla taksirli sorumluluk hali saklıdır .;TÜRK CEZA KANUNU
suçun daha ağır veya daha az cezayı gerektiren nitelikli hallerinin gerçekleştiği hususunda hataya düşen kişi , bu hatasından yararlanır .;TÜRK CEZA KANUNU
sorumluluğunu kaldıran veya azaltan nedenlere ait koşulların gerçekleştiği hususunda kaçınılmaz bir hataya düşen kişi , bu hatasından yararlanır .;TÜRK CEZA KANUNU
fiilin haksızlık oluşturduğu hususunda kaçınılmaz bir hataya düşen kişi , cezalandırılmaz .;TÜRK CEZA KANUNU
işlediği sırada oniki yaşını doldurmamış olan çocukların ceza sorumluluğu yoktur .;TÜRK CEZA KANUNU
"kişiler hakkında , ceza kovuşturması yapılamaz ; ancak , çocuklara özgü güvenlik tedbirleri uygulanabilir .";TÜRK CEZA KANUNU
işlediği sırada oniki yaşını doldurmuş olup da onbeş yaşını doldurmamış olanların işlediği fiilin hukuki anlam ve sonuçlarını algılayamaması veya davranışlarını yönlendirme yeteneğinin yeterince gelişmemiş olması halinde ceza sorumluluğu yoktur .;TÜRK CEZA KANUNU
bu kişiler hakkında çocuklara özgü güvenlik tedbirlerine hükmolunur .;TÜRK CEZA KANUNU
"fiilin hukuki anlam ve sonuçlarını algılama ve bu fiille ilgili olarak davranışlarını yönlendirme yeteneğinin varlığı halinde , bu kişiler hakkında suç , ağırlaştırılmış müebbet hapis cezasını gerektirdiği takdirde oniki yıldan onbeş yıla ; müebbet hapis cezasını gerektirdiği takdirde dokuz yıldan onbir yıla kadar hapis cezasına hükmolunur .";TÜRK CEZA KANUNU
cezaların yarısı indirilir ve bu halde her fiil için verilecek hapis cezası yedi yıldan fazla olamaz .;TÜRK CEZA KANUNU
"işlediği sırada onbeş yaşını doldurmuş olup da onsekiz yaşını doldurmamış olan kişiler hakkında suç , ağırlaştırılmış müebbet hapis cezasını gerektirdiği takdirde onsekiz yıldan yirmidört yıla ; müebbet hapis cezasını gerektirdiği takdirde oniki yıldan onbeş yıla kadar hapis cezasına hükmolunur .";TÜRK CEZA KANUNU
cezaların üçte biri indirilir ve bu halde her fiil için verilecek hapis cezası oniki yıldan fazla olamaz .;TÜRK CEZA KANUNU
hastalığı nedeniyle , işlediği fiilin hukuki anlam ve sonuçlarını algılayamayan veya bu fiille ilgili olarak davranışlarını yönlendirme yeteneği önemli derecede azalmış olan kişiye ceza verilmez .;TÜRK CEZA KANUNU
bu kişiler hakkında güvenlik tedbirine hükmolunur .;TÜRK CEZA KANUNU
fıkrada yazılı derecede olmamakla birlikte işlediği fiille ilgili olarak davranışlarını yönlendirme yeteneği azalmış olan kişiye , ağırlaştırılmış müebbet hapis cezası yerine yirmibeş yıl , müebbet hapis cezası yerine yirmi yıl hapis cezası verilir .;TÜRK CEZA KANUNU
